name
E. Hysaj
Andre Gomes
K. Balde
J. Weigl
V. Rongier
Yeray
Loren
R. Rodriguez
A. Oxlade-Chamberlain
Campana
A. Mandi
Deulofeu
Bernat
M. Keane
J. Quintero
Samu Castillejo
A. Rebic
E. Bailly
M. Almiron
M. Lazzari
M. Lanzini
Sergi Gomez
H. Vanaken
M. Hinteregger
M. Nastasic
Gabriel
C. Wilson
J. Guilavogui
D. Klaassen
P. Kaderabek
C. Kramer
Inigo Martinez
Portu
Manu Trigueros
H. Calhanoglu
M. Dabbur
M. Halstenberg
M. Vecino
Joaquin
W. Rooney
Nani
J. Mascherano
A. Gignac
Jorge Molina
L. Perrin
Charles
S. Radu
D. Rose
E. Lamela
Raul Garcia
Naldo
D. Wass
Pedro Leon
I. Piatti
M. Diaz
M. Valbuena
L. Bender
S. Bender
E. Capoue
Antunes
F. Fazio
M. Hasebe
Sidnei
D. Perotti
L. Pratto
S. Feghouli
K. Trippier
M. Musacchio
Y. M'Vila
L. Stindl
F. Smolov
S. Nzonzi
F. Coquelin
Hulk
K. Strootman
C. Smalling
K. Glik
E. Salvio
K. Vogt
R. Pereyra
Y. Belhanda
Sergi Enrich
D. Lovren
S. Verdi
L. Muriel
D. Vida
Ibai Gomez
S. Berghuis
Cristian Tello
Ismaily
F. Ghoulam
S. Sane
S. Zaza
S. Vrsaljko
Pozuelo
R. Jimenez
Bernard
T. Stepanenko
I. Marcone
Jony
Mata
M. Marega
Everton Andrao
Welington Dano
Vinicius Jr.
R. Bentancur
Lucas Paqueta
A. Wan-Bissaka
I. Konate
Merino
S. Berge
L. Pellegrini
F. Chiesa
Dani Olmo
R. Zobnin
A. Saint-Maximin
C. Pavon
T. Kehrer
C. Pulisic
F. Kessie
A. Hakimi
D. Samassekou
Marc Roca
D. Zagadou
V. Tsygankov
De Tomas
R. Loftus-Cheek
S. Lobotka
J. Denayer
L. Klostermann
A. Golovin
A. Diallo
B. Pavard
M. Rashica
B. Chilwell
Wesley
T. Soucek
Junior Firpo
J. Ward-Prowse
A. Januzaj
Otavio
N. Stark
A. Iwobi
J. Gbamin
Munir
Angelino
J. Maddison
Andre Silva
Richarlison
S. Nakajima
Raphinha
E. Dier
L. Trossard
Jonny
M. Sanson
J. Lerma
L. Dubois
F. Grillitsch
L. Cabrera
R. Barkley
J. Murillo
J. Tarkowski
J. Brooks
M. Batshuayi
M. Arnold
S. Kolasinac
F. Schar
Ricardo Horta
L. Alario
Mariano
R. Aguilar
F. Balbuena
S. Mustafi
G. Pezzella
D. da Costa
W. Boly
B. Davies
Fred
M. Samatta
Diego Carlos
K. Toko-Ekambi
R. Malinovskyi
M. Sakho
J. King
H. Seferovic
Laguardia
P. Jones
S. Aurier
L. Spinazzola
K. Lala
S. Arias
D. Baselli
T. Savanier
Leo Baptistao
J. Veltman
D. Zappacosta
Wu Lei
David Villa
B. Ylmaz
S. Kalou
Dante
M. Debuchy
E. Lavezzi
Borja Valero
M. Skrtel
J. Evans
D. Valeri
N. Moisander
D. Criscito
A. Candreva
Marcano
K. Boateng
A. Fernandez
Nacho Monreal
Angel
Granero
Eder
R. Vormer
S. Coleman
A. Lallana
A. Modeste
M. Gradel
Yuri Berchiche
O. Toprak
N. Kalinic
C. Stuani
K. Asamoah
Alex Teixeira
S. Lulic
S. Rondon
S. Kagawa
J. Wilshere
Cote
Iago Falque
J. Pastore
Maicon
F. Orellana
Elkeson
Kike Garcia
Escudero
Mario Gaspar
Victor Ruiz
I. Belfodil
A. Yarmolenko
W. Khazri
E. Perez
D. Caligiuri
Danilo
N. Pallois
Vitolo
M. Badelj
Ze Luis
D. Suarez
Roque Mesa
Mario Rui
T. Inui
D. Cheryshev
C. Bacca
A. Samaris
J. Hector
Ruben Pena
A. Hamdallah
D. Benedetto
L. Sigali
Raul
Petros
Dyego Sousa
Soares
Ruben Alcaraz
Maikel Catarino
Antonio Chiamuloira
Melvin Parrela
Luimo Boas Santos
I. Sarr
D. Rice
F. Neuhaus
M. Zaracho
Ferro
J. Andersen
D. Zakaria
I. Diop
H. Onyekuru
J. Ikone
C. Under
M. degaard
J. Bamba
N. Amiri
O. Zinchenko
J. Mateta
O. Yokuslu
B. Cristante
L. Dendoncker
M. Dahoud
N. Elvedi
Joelinton
Daniel Podence
G. Dzhikiya
Aaron Martin
E. Bardhi
N. Maksimovic
Calero
Oliver Torres
G. Laborde
R. De Paul
D. Selke
M. Lemina
D. Origi
E. Pulgar
A. Miranchuk
Ruben Vezo
B. Santamaria
Y. Mina
Joan Jordan
L. Tousart
Y. Yazc
M. Gregoritsch
J. Lascelles
Denis Suarez
K. Rekik
B. Traore
I. Amadou
M. Meyer
A. Mitrovic
G. Maripan
E. Skhiri
D. Dumfries
Bruno Viana
A. Soumaoro
J. Veretout
V. Fischer
S. Meite
J. Boetius
D. Berardi
R. Gagliardini
R. Saravia
Ayoze Perez
H. Hateboer
B. Verbic
G. Martinez
Rafael Toloi
S. Duffy
F. Lejeune
L. Dunk
Pedro Mendes
K. Fortounis
C. Herelle
Omar Mascarell
Bruma
S. Deli
M. Ngadeu
V. Wanyama
C. Kabasele
A. Delort
Sergio Oliveira
V. Aboubakar
M. Uth
M. Doherty
David Lopez
R. Freuler
D. Demme
J. Vestergaard
F. Mollet
J. Hofmann
V. Grifo
F. Tait
D. Laxalt
Capa
Bastos
M. Diagne
C. Tevez
J. Sosa
Raffael
J. Pinola
M. Zarate
Hilton
G. Hoarau
A. Granqvist
R. Babel
T. Vermaelen
D. Abraham
S. Nasri
A. Masiello
R. Bertrand
J. dos Santos
Gervinho
N. Sahin
S. Defour
K. Mirallas
Manu Garcia
Coke
V. Moses
C. Ansaldi
J. Tomkins
F. Caicedo
V. Birsa
D. Mbokani
C. Zapata
J. Hernandez
P. Diop
M. Sulejmani
D. Da Silva
S. Jovetic
M. Caceres
J. Holebas
N. Amrabat
T. Deeney
L. Fejsa
D. Schwaab
N. Petersen
P. Piatti
S. Wagner
Bruno
Adrien Silva
Mikel San Jose
D. Welbeck
A. Barnes
C. Grenier
Camacho
Rafael Carioca
Alan Carvalho
R. Boudebouz
A. Mehmedi
Daniel Carrico
S. Rudy
Souza
B. Hubner
Iborra
J. Baumgartlinger
Rafael
B. Mee
De Marcos
N. Clyne
B. Andre
M. Antonio
P. Gro
J. Gumundsson
D. Ginczek
S. Cook
Jaume Costa
R. Soriano
G. Medel
D. Didavi
Hugo Mallo
A. Townsend
T. Cairney
A. Finnbogason
N. Lodeiro
G. Krychowiak
B. Stambouli
K. Malcuit
Nolito
S. Rode
G. Ramirez
M. Rojo
J. Gouweleeuw
G. Defrel
Alvaro
A. Carrillo
S. Garcia
Djaniny
Z. Feddal
L. Pavoletti
G. Pizarro
M. de Roon
H. Sakai
G. Kanga
